127.0.0.1, 2018-07-05 18:58:35, GET, /MAT3D/static/js/marked.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 18:58:35, GET, /MAT3D/static/js/vue.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-07-05 18:58:35, GET, /MAT3D/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 18:58:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-05 18:58:47, GET, /MAT3D/default/index, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-07-05 18:58:47, GET, /MAT3D/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 18:58:47, GET, /MAT3D/static/css/custom.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 18:58:47, GET, /MAT3D/static/css/web2py.css, HTTP/1.1, 200, 0.003000

127.0.0.1, 2018-07-05 18:58:47, GET, /MAT3D/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 18:58:47, GET, /MAT3D/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 18:58:47, GET, /MAT3D/static/css/myapp.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 18:58:47, GET, /MAT3D/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 18:58:47, GET, /MAT3D/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 18:58:47, GET, /MAT3D/static/js/vue.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 18:58:47, GET, /MAT3D/static/js/default_index.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 18:58:47, GET, /MAT3D/static/js/marked.min.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-07-05 18:58:47, GET, /MAT3D/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 18:58:47, GET, /MAT3D/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 18:58:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/default/index, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/static/css/myapp.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/static/js/vue.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/static/js/default_index.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/static/js/marked.min.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 18:58:58, GET, /MAT3D/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-07-05 18:58:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-05 19:01:34, GET, /MAT3D/default/index, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-07-05 19:01:34, GET, /MAT3D/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:01:34, GET, /MAT3D/static/css/custom.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:01:34, GET, /MAT3D/static/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-07-05 19:01:34, GET, /MAT3D/static/css/myapp.css, HTTP/1.1, 200, 0.002000
css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:01:34, GET, /MAT3D/static/css/web2py.css, HTTP/1.1, 200, 0.006000
